,Project data,Removed Punctuations,No Numbers,Tokens,No stopwords,No Frequent or Rare words,With spell check,Stemmitized Words,Lemmatized
0, the project experienc resourc constraint throughout project busi owner clear requir import go detail,the project experienc resourc constraint throughout project busi owner clear requir import go detail,the project experienc resourc constraint throughout project busi owner clear requir import go detail,"[the, project, experienc, resourc, constraint, throughout, project, busi, owner, clear, requir, import, go, detail]","[project, experienc, resourc, constraint, throughout, project, busi, owner, clear, requir, import, go, detail]","[busi, owner]","['busi', 'owner']","['bus', 'own']",busi owner
1,"Be rigorous about governance. Legacy projects that have not gone through governance should have the supporting documentation a BRM normally provides: rationale, deadlines, planned ROI, ROM. mani peopl awar agil work import keep consist use see detail project schedul develop design overlap predict caus bottleneck effort began take longer anticip",be rigorous about governance legacy projects that have not gone through governance should have the supporting documentation a brm normally provides rationale deadlines planned roi rom mani peopl awar agil work import keep consist use see detail project schedul develop design overlap predict caus bottleneck effort began take longer anticip,be rigorous about governance legacy projects that have not gone through governance should have the supporting documentation a brm normally provides rationale deadlines planned roi rom mani peopl awar agil work import keep consist use see detail project schedul develop design overlap predict caus bottleneck effort began take longer anticip,"[be, rigorous, about, governance, legacy, projects, that, have, not, gone, through, governance, should, have, the, supporting, documentation, a, brm, normally, provides, rationale, deadlines, planned, roi, rom, mani, peopl, awar, agil, work, import, keep, consist, use, see, detail, project, schedul, develop, design, overlap, predict, caus, bottleneck, effort, began, take, longer, anticip]","[rigorous, governance, legacy, projects, gone, governance, supporting, documentation, brm, normally, provides, rationale, deadlines, planned, roi, rom, mani, peopl, awar, agil, work, import, keep, consist, use, see, detail, project, schedul, develop, design, overlap, predict, caus, bottleneck, effort, began, take, longer, anticip]","[supporting, documentation, brm, normally, provides, rationale, deadlines, planned, roi, rom, mani, peopl, awar, agil, work, import, keep, consist, use, see, detail, project, schedul, develop, design, overlap, predict, caus, bottleneck]","['supporting', 'documentation', 'brm', 'normally', 'provides', 'rationale', 'deadlines', 'planned', 'roi', 'rom', 'mani', 'people', 'away', 'gail', 'work', 'import', 'keep', 'consist', 'use', 'see', 'detail', 'project', 'schedule', 'develop', 'design', 'overlap', 'predict', 'cause', 'bottleneck']","['support', 'docu', 'brm', 'norm', 'provid', 'rat', 'deadlin', 'plan', 'roi', 'rom', 'man', 'peopl', 'away', 'gail', 'work', 'import', 'keep', 'consist', 'us', 'see', 'detail', 'project', 'schedule', 'develop', 'design', 'overlap', 'predict', 'caus', 'bottleneck']",support documentation brm normally provide rationale deadline plan roi rom mani peopl awar agil work import keep consist use see detail project schedul develop design overlap predict caus bottleneck
2,Initial stages of end user testing relied on business process documents to guide users through processes which proved difficult to follow in an unfamiliar system updat field automat updat name chang field work desir infrastructur compat issu,initial stages of end user testing relied on business process documents to guide users through processes which proved difficult to follow in an unfamiliar system updat field automat updat name chang field work desir infrastructur compat issu,initial stages of end user testing relied on business process documents to guide users through processes which proved difficult to follow in an unfamiliar system updat field automat updat name chang field work desir infrastructur compat issu,"[initial, stages, of, end, user, testing, relied, on, business, process, documents, to, guide, users, through, processes, which, proved, difficult, to, follow, in, an, unfamiliar, system, updat, field, automat, updat, name, chang, field, work, desir, infrastructur, compat, issu]","[initial, stages, end, user, testing, relied, business, process, documents, guide, users, processes, proved, difficult, follow, unfamiliar, system, updat, field, automat, updat, name, chang, field, work, desir, infrastructur, compat, issu]","[user, testing, relied, business, process, documents, guide, users, processes, proved, difficult, follow, unfamiliar, system, automat, name, chang]","['user', 'testing', 'relied', 'business', 'process', 'documents', 'guide', 'users', 'processes', 'proved', 'difficult', 'follow', 'unfamiliar', 'system', 'automate', 'name', 'chang']","['us', 'test', 'rely', 'busy', 'process', 'docu', 'guid', 'us', 'process', 'prov', 'difficult', 'follow', 'unfamili', 'system', 'autom', 'nam', 'chang']",user testing rely business process document guide user process prove difficult follow unfamiliar system automat name chang
3,No project team email account. understand scope project thi long project item need upcom event,no project team email account understand scope project thi long project item need upcom event,no project team email account understand scope project thi long project item need upcom event,"[no, project, team, email, account, understand, scope, project, thi, long, project, item, need, upcom, event]","[project, team, email, account, understand, scope, project, thi, long, project, item, need, upcom, event]","[scope, thi]","['scope', 'thi']","['scop', 'thi']",scope thi
4,"New fields were added without consulting the Registrar, need plan it vendor resourc lack clariti around project manag vendor relationship",new fields were added without consulting the registrar need plan it vendor resourc lack clariti around project manag vendor relationship,new fields were added without consulting the registrar need plan it vendor resourc lack clariti around project manag vendor relationship,"[new, fields, were, added, without, consulting, the, registrar, need, plan, it, vendor, resourc, lack, clariti, around, project, manag, vendor, relationship]","[new, fields, added, without, consulting, registrar, need, plan, vendor, resourc, lack, clariti, around, project, manag, vendor, relationship]","[consulting, registrar, need, plan, resourc, lack]","['consulting', 'registrar', 'need', 'plan', 'resource', 'lack']","['consult', 'registr', 'nee', 'plan', 'resourc', 'lack']",consult registrar need plan resourc lack
5,Detail and clear requirements document were not created sinc team pressur mani compet project facetofac meet would help bring everyth back perspect delay critic decis make partli affect plan solut requir,detail and clear requirements document were not created sinc team pressur mani compet project facetofac meet would help bring everyth back perspect delay critic decis make partli affect plan solut requir,detail and clear requirements document were not created sinc team pressur mani compet project facetofac meet would help bring everyth back perspect delay critic decis make partli affect plan solut requir,"[detail, and, clear, requirements, document, were, not, created, sinc, team, pressur, mani, compet, project, facetofac, meet, would, help, bring, everyth, back, perspect, delay, critic, decis, make, partli, affect, plan, solut, requir]","[detail, clear, requirements, document, created, sinc, team, pressur, mani, compet, project, facetofac, meet, would, help, bring, everyth, back, perspect, delay, critic, decis, make, partli, affect, plan, solut, requir]","[sinc, team, pressur, mani, compet, project, facetofac, meet, would, help, bring, everyth, back, perspect, delay, critic, decis, make]","['since', 'team', 'pressure', 'mani', 'compete', 'project', 'facetofac', 'meet', 'would', 'help', 'bring', 'every', 'back', 'respect', 'delay', 'critic', 'denis', 'make']","['sint', 'team', 'press', 'man', 'compet', 'project', 'facetofac', 'meet', 'would', 'help', 'bring', 'every', 'back', 'respect', 'delay', 'crit', 'den', 'mak']",sinc team pressur mani compet project facetofac meet would help bring everyth back perspect delay critic decis make
6,LinkedIn CSM & Technical resource was not available for weekly team meeting no clariti issu ownership cogno train issu vendor equip,linkedin csm  technical resource was not available for weekly team meeting no clariti issu ownership cogno train issu vendor equip,linkedin csm  technical resource was not available for weekly team meeting no clariti issu ownership cogno train issu vendor equip,"[linkedin, csm,  , technical, resource, was, not, available, for, weekly, team, meeting, no, clariti, issu, ownership, cogno, train, issu, vendor, equip]","[linkedin, csm,  , technical, resource, available, weekly, team, meeting, clariti, issu, ownership, cogno, train, issu, vendor, equip]","[resource, available, weekly, team, meeting, clariti]","['resource', 'available', 'weekly', 'team', 'meeting', 'clarity']","['resourc', 'avail', 'week', 'team', 'meet', 'clar']",resource available weekly team meet clariti
7,ITSS PM was not engaged from the beginning of the project. data sourc connect problem a lot item need done it understood ahead time,itss pm was not engaged from the beginning of the project data sourc connect problem a lot item need done it understood ahead time,itss pm was not engaged from the beginning of the project data sourc connect problem a lot item need done it understood ahead time,"[itss, pm, was, not, engaged, from, the, beginning, of, the, project, data, sourc, connect, problem, a, lot, item, need, done, it, understood, ahead, time]","[itss, pm, engaged, beginning, project, data, sourc, connect, problem, lot, item, need, done, understood, ahead, time]","[data, sourc, connect, problem, lot, item]","['data', 'source', 'connect', 'problem', 'lot', 'item']","['dat', 'sourc', 'connect', 'problem', 'lot', 'item']",datum sourc connect problem lot item
8,Vendor contact did not inform about external billing file integration that could be taken up at the same time. This integration was added later on. need better defin set requir hr function lead also left near complet first draft form balanc need busi commit project timelin,vendor contact did not inform about external billing file integration that could be taken up at the same time this integration was added later on need better defin set requir hr function lead also left near complet first draft form balanc need busi commit project timelin,vendor contact did not inform about external billing file integration that could be taken up at the same time this integration was added later on need better defin set requir hr function lead also left near complet first draft form balanc need busi commit project timelin,"[vendor, contact, did, not, inform, about, external, billing, file, integration, that, could, be, taken, up, at, the, same, time, this, integration, was, added, later, on, need, better, defin, set, requir, hr, function, lead, also, left, near, complet, first, draft, form, balanc, need, busi, commit, project, timelin]","[vendor, contact, inform, external, billing, file, integration, could, taken, time, integration, added, later, need, better, defin, set, requir, hr, function, lead, also, left, near, complet, first, draft, form, balanc, need, busi, commit, project, timelin]","[external, billing, file, could, taken, time, added, later, better, defin, set, requir, hr, function, lead, also, left, near, complet, first, draft, form]","['external', 'billing', 'file', 'could', 'taken', 'time', 'added', 'later', 'better', 'define', 'set', 'require', 'hr', 'function', 'lead', 'also', 'left', 'near', 'complete', 'first', 'draft', 'form']","['extern', 'bil', 'fil', 'could', 'tak', 'tim', 'ad', 'lat', 'bet', 'defin', 'set', 'requir', 'hr', 'funct', 'lead', 'also', 'left', 'near', 'complet', 'first', 'draft', 'form']",external billing file could take time add later well defin set requir hr function lead also leave near complet first draft form
9,Frequent changes and insufficient communication to stakeholders lack chang manag knowledg transit lap august th goliv date optim right start fall semest,frequent changes and insufficient communication to stakeholders lack chang manag knowledg transit lap august th goliv date optim right start fall semest,frequent changes and insufficient communication to stakeholders lack chang manag knowledg transit lap august th goliv date optim right start fall semest,"[frequent, changes, and, insufficient, communication, to, stakeholders, lack, chang, manag, knowledg, transit, lap, august, th, goliv, date, optim, right, start, fall, semest]","[frequent, changes, insufficient, communication, stakeholders, lack, chang, manag, knowledg, transit, lap, august, th, goliv, date, optim, right, start, fall, semest]","[lack, chang, manag, knowledg, transit, lap, august, th, goliv, date]","['lack', 'chang', 'manage', 'knowledge', 'transit', 'lap', 'august', 'th', 'gold', 'date']","['lack', 'chang', 'man', 'knowledg', 'transit', 'lap', 'august', 'th', 'gold', 'dat']",lack chang manag knowledg transit lap august th goliv date
