,Project data,Removed Punctuations,No Numbers,Tokens,No stopwords,No Frequent or Rare words,With spell check,Stemmitized Words,Lemmatized
0, project involv think ask question function offer system ass may taken scope work,project involv think ask question function offer system ass may taken scope work,project involv think ask question function offer system ass may taken scope work,"[project, involv, think, ask, question, function, offer, system, ass, may, taken, scope, work]","[project, involv, think, ask, question, function, offer, system, ass, may, taken, scope, work]","[function, offer, system]","['function', 'offer', 'system']","['funct', 'off', 'system']",function offer system
1,"Engage BRM on any Level 3 or 4 project in the pipeline. Ask for ROM, ROI, Scope if available. proactiv commun would allevi much confus surround reason suspens bill activ go the team make use avail opportun meet make decis aid team dynam",engage brm on any level 3 or 4 project in the pipeline ask for rom roi scope if available proactiv commun would allevi much confus surround reason suspens bill activ go the team make use avail opportun meet make decis aid team dynam,engage brm on any level  or  project in the pipeline ask for rom roi scope if available proactiv commun would allevi much confus surround reason suspens bill activ go the team make use avail opportun meet make decis aid team dynam,"[engage, brm, on, any, level,  , or,  , project, in, the, pipeline, ask, for, rom, roi, scope, if, available, proactiv, commun, would, allevi, much, confus, surround, reason, suspens, bill, activ, go, the, team, make, use, avail, opportun, meet, make, decis, aid, team, dynam]","[engage, brm, level,  ,  , project, pipeline, ask, rom, roi, scope, available, proactiv, commun, would, allevi, much, confus, surround, reason, suspens, bill, activ, go, team, make, use, avail, opportun, meet, make, decis, aid, team, dynam]","[level, project, pipeline, ask, rom, roi, scope, available, proactiv, commun, would, allevi, much, confus, surround, reason, suspens, bill, activ, go, use, avail]","['level', 'project', 'pipeline', 'ask', 'rom', 'roi', 'scope', 'available', 'proactive', 'common', 'would', 'allen', 'much', 'confuse', 'surround', 'reason', 'suspend', 'bill', 'active', 'go', 'use', 'avail']","['level', 'project', 'pipelin', 'ask', 'rom', 'roi', 'scop', 'avail', 'proact', 'common', 'would', 'al', 'much', 'confus', 'surround', 'reason', 'suspend', 'bil', 'act', 'go', 'us', 'avail']",level project pipeline ask rom roi scope available proactiv commun would allevi much confu surround reason suspen bill activ go use avail
2,"UAT window should be reasonable to perform relevant tests, fix bugs, and retest before go-live. defin busi process earli stage project would provid clariti add valu everi step implement make sure resourc overcommit get vendor state resourc level commit project fte figur for it resourc check resourc plan report avail andi novak pmo team",uat window should be reasonable to perform relevant tests fix bugs and retest before golive defin busi process earli stage project would provid clariti add valu everi step implement make sure resourc overcommit get vendor state resourc level commit project fte figur for it resourc check resourc plan report avail andi novak pmo team,uat window should be reasonable to perform relevant tests fix bugs and retest before golive defin busi process earli stage project would provid clariti add valu everi step implement make sure resourc overcommit get vendor state resourc level commit project fte figur for it resourc check resourc plan report avail andi novak pmo team,"[uat, window, should, be, reasonable, to, perform, relevant, tests, fix, bugs, and, retest, before, golive, defin, busi, process, earli, stage, project, would, provid, clariti, add, valu, everi, step, implement, make, sure, resourc, overcommit, get, vendor, state, resourc, level, commit, project, fte, figur, for, it, resourc, check, resourc, plan, report, avail, andi, novak, pmo, team]","[uat, window, reasonable, perform, relevant, tests, fix, bugs, retest, golive, defin, busi, process, earli, stage, project, would, provid, clariti, add, valu, everi, step, implement, make, sure, resourc, overcommit, get, vendor, state, resourc, level, commit, project, fte, figur, resourc, check, resourc, plan, report, avail, andi, novak, pmo, team]","[perform, relevant, tests, fix, bugs, retest, golive, defin, busi, process, earli, stage, would, provid, clariti, add, valu, everi, step, implement, make, sure, overcommit, get, vendor, state, level, commit, fte, figur, check, plan, report]","['perform', 'relevant', 'tests', 'fix', 'bugs', 'detest', 'olive', 'define', 'busi', 'process', 'early', 'stage', 'would', 'provide', 'clarity', 'add', 'value', 'every', 'step', 'implement', 'make', 'sure', 'overcommit', 'get', 'vendor', 'state', 'level', 'commit', 'fee', 'figure', 'check', 'plan', 'report']","['perform', 'relev', 'test', 'fix', 'bug', 'detest', 'ol', 'defin', 'bus', 'process', 'ear', 'stag', 'would', 'provid', 'clar', 'ad', 'valu', 'every', 'step', 'impl', 'mak', 'sur', 'overcommit', 'get', 'vend', 'stat', 'level', 'commit', 'fee', 'fig', 'check', 'plan', 'report']",perform relevant test fix bug retest golive defin busi process earli stage would provid clariti add valu everi step implement make sure overcommit get vendor state level commit fte figur check plan report
3,The team should adhere to the PMO's communication management plan. escal better make realist schedul decis be honest workload much accomplish come month aresourc assign issu team member inform issu owner,the team should adhere to the pmos communication management plan escal better make realist schedul decis be honest workload much accomplish come month aresourc assign issu team member inform issu owner,the team should adhere to the pmos communication management plan escal better make realist schedul decis be honest workload much accomplish come month aresourc assign issu team member inform issu owner,"[the, team, should, adhere, to, the, pmos, communication, management, plan, escal, better, make, realist, schedul, decis, be, honest, workload, much, accomplish, come, month, aresourc, assign, issu, team, member, inform, issu, owner]","[team, adhere, pmos, communication, management, plan, escal, better, make, realist, schedul, decis, honest, workload, much, accomplish, come, month, aresourc, assign, issu, team, member, inform, issu, owner]","[management, plan, escal, better, make, realist, schedul, decis, honest, workload, much, accomplish, come, month]","['management', 'plan', 'esca', 'better', 'make', 'realist', 'schedule', 'denis', 'honest', 'workload', 'much', 'accomplish', 'come', 'month']","['man', 'plan', 'esc', 'bet', 'mak', 'real', 'schedule', 'den', 'honest', 'workload', 'much', 'accompl', 'com', 'mon']",management plan escal better make realist schedul decis honest workload much accomplish come month
4,Negotiate test and production instances at the same time. all stakehold identifi engag soon possibl a review elicit requir need infrastructurerel project it secur consult review secur function guidanc,negotiate test and production instances at the same time all stakehold identifi engag soon possibl a review elicit requir need infrastructurerel project it secur consult review secur function guidanc,negotiate test and production instances at the same time all stakehold identifi engag soon possibl a review elicit requir need infrastructurerel project it secur consult review secur function guidanc,"[negotiate, test, and, production, instances, at, the, same, time, all, stakehold, identifi, engag, soon, possibl, a, review, elicit, requir, need, infrastructurerel, project, it, secur, consult, review, secur, function, guidanc]","[negotiate, test, production, instances, time, stakehold, identifi, engag, soon, possibl, review, elicit, requir, need, infrastructurerel, project, secur, consult, review, secur, function, guidanc]","[instances, time, stakehold, identifi, engag, soon, possibl, elicit, requir, need]","['instances', 'time', 'statehood', 'identify', 'engage', 'soon', 'possible', 'elicit', 'require', 'need']","['inst', 'tim', 'stat', 'ident', 'eng', 'soon', 'poss', 'elicit', 'requir', 'nee']",instance time stakehold identifi engag soon possibl elicit requir need
5,Create a group email account. it effect requir filter current public inform consid pii request deleg possibl if possibl build extra time,create a group email account it effect requir filter current public inform consid pii request deleg possibl if possibl build extra time,create a group email account it effect requir filter current public inform consid pii request deleg possibl if possibl build extra time,"[create, a, group, email, account, it, effect, requir, filter, current, public, inform, consid, pii, request, deleg, possibl, if, possibl, build, extra, time]","[create, group, email, account, effect, requir, filter, current, public, inform, consid, pii, request, deleg, possibl, possibl, build, extra, time]","[effect, requir, filter, current, public, inform, consid, pii]","['effect', 'require', 'filter', 'current', 'public', 'inform', 'consider', 'ii']","['effect', 'requir', 'filt', 'cur', 'publ', 'inform', 'consid', 'ii']",effect requir filter current public inform consid pii
6,Create and enforce policies to help the right roles and responsibilities in authorization & systems access. get detail requir effort vendor review academ calendar set project goliv date impact faculti student ensur it pm assign project kickoff,create and enforce policies to help the right roles and responsibilities in authorization  systems access get detail requir effort vendor review academ calendar set project goliv date impact faculti student ensur it pm assign project kickoff,create and enforce policies to help the right roles and responsibilities in authorization  systems access get detail requir effort vendor review academ calendar set project goliv date impact faculti student ensur it pm assign project kickoff,"[create, and, enforce, policies, to, help, the, right, roles, and, responsibilities, in, authorization,  , systems, access, get, detail, requir, effort, vendor, review, academ, calendar, set, project, goliv, date, impact, faculti, student, ensur, it, pm, assign, project, kickoff]","[create, enforce, policies, help, right, roles, responsibilities, authorization,  , systems, access, get, detail, requir, effort, vendor, review, academ, calendar, set, project, goliv, date, impact, faculti, student, ensur, pm, assign, project, kickoff]","[right, roles, responsibilities, authorization,  , systems, access, get, detail, requir, effort, vendor, review, academ, calendar, set, goliv, date, impact, faculti]","['right', 'roles', 'responsibilities', 'authorization', 'a', 'systems', 'access', 'get', 'detail', 'require', 'effort', 'vendor', 'review', 'academy', 'calendar', 'set', 'gold', 'date', 'impact', 'faculty']","['right', 'rol', 'respons', 'auth', 'a', 'system', 'access', 'get', 'detail', 'requir', 'effort', 'vend', 'review', 'academy', 'calend', 'set', 'gold', 'dat', 'impact', 'facul']",right role responsibility authorization   system access get detail requir effort vendor review academ calendar set goliv date impact faculti
7,Whitelist components/objects should be considered. project team member especi develop team review agre upon name convers use ibm certifi trainer,whitelist componentsobjects should be considered project team member especi develop team review agre upon name convers use ibm certifi trainer,whitelist componentsobjects should be considered project team member especi develop team review agre upon name convers use ibm certifi trainer,"[whitelist, componentsobjects, should, be, considered, project, team, member, especi, develop, team, review, agre, upon, name, convers, use, ibm, certifi, trainer]","[whitelist, componentsobjects, considered, project, team, member, especi, develop, team, review, agre, upon, name, convers, use, ibm, certifi, trainer]","[member, especi, develop, review, agre, upon, name]","['member', 'expect', 'develop', 'review', 'are', 'upon', 'name']","['memb', 'expect', 'develop', 'review', 'ar', 'upon', 'nam']",member especi develop review agre upon name
8,Determine Go-Live roles and responsibilities and ensure that the users ultimately responsible for a given task are performing that task in the Mock Conversions. need test kind browser campu campu user other relev test case also includ the project team work directli tier support onboard user troubleshoot issu howev clear document tier support need develop,determine golive roles and responsibilities and ensure that the users ultimately responsible for a given task are performing that task in the mock conversions need test kind browser campu campu user other relev test case also includ the project team work directli tier support onboard user troubleshoot issu howev clear document tier support need develop,determine golive roles and responsibilities and ensure that the users ultimately responsible for a given task are performing that task in the mock conversions need test kind browser campu campu user other relev test case also includ the project team work directli tier support onboard user troubleshoot issu howev clear document tier support need develop,"[determine, golive, roles, and, responsibilities, and, ensure, that, the, users, ultimately, responsible, for, a, given, task, are, performing, that, task, in, the, mock, conversions, need, test, kind, browser, campu, campu, user, other, relev, test, case, also, includ, the, project, team, work, directli, tier, support, onboard, user, troubleshoot, issu, howev, clear, document, tier, support, need, develop]","[determine, golive, roles, responsibilities, ensure, users, ultimately, responsible, given, task, performing, task, mock, conversions, need, test, kind, browser, campu, campu, user, relev, test, case, also, includ, project, team, work, directli, tier, support, onboard, user, troubleshoot, issu, howev, clear, document, tier, support, need, develop]","[determine, golive, roles, responsibilities, ensure, users, ultimately, responsible, given, performing, mock, conversions, kind, browser, relev, case, also, includ, project, team, work, directli, tier, support, onboard, troubleshoot, tier, support]","['determine', 'olive', 'roles', 'responsibilities', 'ensure', 'users', 'ultimately', 'responsible', 'given', 'performing', 'mock', 'conversions', 'kind', 'browser', 'relet', 'case', 'also', 'include', 'project', 'team', 'work', 'directly', 'tier', 'support', 'onboard', 'troubleshooter', 'tier', 'support']","['determin', 'ol', 'rol', 'respons', 'ens', 'us', 'ultim', 'respons', 'giv', 'perform', 'mock', 'convert', 'kind', 'brows', 'relet', 'cas', 'also', 'includ', 'project', 'team', 'work', 'direct', 'tier', 'support', 'onboard', 'troubleshoot', 'tier', 'support']",determine golive role responsibility ensure user ultimately responsible give perform mock conversion kind browser relev case also includ project team work directli tier support onboard troubleshoot tier support
9,Design systems to fit with long term organizational strategy. confirm design paramet restrict design especi restrict prevent tradit design format effect improv commun demand transpar detail get adequ inform,design systems to fit with long term organizational strategy confirm design paramet restrict design especi restrict prevent tradit design format effect improv commun demand transpar detail get adequ inform,design systems to fit with long term organizational strategy confirm design paramet restrict design especi restrict prevent tradit design format effect improv commun demand transpar detail get adequ inform,"[design, systems, to, fit, with, long, term, organizational, strategy, confirm, design, paramet, restrict, design, especi, restrict, prevent, tradit, design, format, effect, improv, commun, demand, transpar, detail, get, adequ, inform]","[design, systems, fit, long, term, organizational, strategy, confirm, design, paramet, restrict, design, especi, restrict, prevent, tradit, design, format, effect, improv, commun, demand, transpar, detail, get, adequ, inform]","[term, organizational, strategy, confirm, paramet, especi, prevent, tradit, format, effect, improv, commun, demand]","['term', 'organizational', 'strategy', 'confirm', 'parapet', 'expect', 'prevent', 'trait', 'format', 'effect', 'improv', 'common', 'demand']","['term', 'org', 'strategy', 'confirm', 'parapet', 'expect', 'prev', 'trait', 'form', 'effect', 'improv', 'common', 'demand']",term organizational strategy confirm paramet especi prevent tradit format effect improv commun demand
