,Project data,Removed Punctuations,No Numbers,Tokens,No stopwords,No Frequent or Rare words,With spell check,Stemmitized Words,Lemmatized
0,ITSS team was quick to respond when needed to get items changed or updated or completed in a timely manner. quick implement project the team particip craft implement process evolv improv variou migrat phase,itss team was quick to respond when needed to get items changed or updated or completed in a timely manner quick implement project the team particip craft implement process evolv improv variou migrat phase,itss team was quick to respond when needed to get items changed or updated or completed in a timely manner quick implement project the team particip craft implement process evolv improv variou migrat phase,"[itss, team, was, quick, to, respond, when, needed, to, get, items, changed, or, updated, or, completed, in, a, timely, manner, quick, implement, project, the, team, particip, craft, implement, process, evolv, improv, variou, migrat, phase]","[itss, team, quick, respond, needed, get, items, changed, updated, completed, timely, manner, quick, implement, project, team, particip, craft, implement, process, evolv, improv, variou, migrat, phase]","[needed, get, items, changed, updated, completed, timely, manner, project, particip, craft, process]","['needed', 'get', 'items', 'changed', 'updated', 'completed', 'timely', 'manner', 'project', 'particle', 'craft', 'process']","['nee', 'get', 'item', 'chang', 'upd', 'complet', 'tim', 'man', 'project', 'partic', 'craft', 'process']",need get item change update complete timely manner project particip craft process
1,Several team members became knowledgeable of the marketing system so that implementations could go faster despite issues with the consultants. willing coloc campus design session good coordin among team member the team member transpar hardwork good sen respons,several team members became knowledgeable of the marketing system so that implementations could go faster despite issues with the consultants willing coloc campus design session good coordin among team member the team member transpar hardwork good sen respons,several team members became knowledgeable of the marketing system so that implementations could go faster despite issues with the consultants willing coloc campus design session good coordin among team member the team member transpar hardwork good sen respons,"[several, team, members, became, knowledgeable, of, the, marketing, system, so, that, implementations, could, go, faster, despite, issues, with, the, consultants, willing, coloc, campus, design, session, good, coordin, among, team, member, the, team, member, transpar, hardwork, good, sen, respons]","[several, team, members, became, knowledgeable, marketing, system, implementations, could, go, faster, despite, issues, consultants, willing, coloc, campus, design, session, good, coordin, among, team, member, team, member, transpar, hardwork, good, sen, respons]","[became, knowledgeable, marketing, system, implementations, could, go, faster, despite, issues, consultants, willing, coloc, campus, design, session, coordin]","['became', 'knowledgeable', 'marketing', 'system', 'implementations', 'could', 'go', 'faster', 'despite', 'issues', 'consultants', 'willing', 'colon', 'campus', 'design', 'session', 'cordon']","['becam', 'knowledg', 'market', 'system', 'impl', 'could', 'go', 'fast', 'despit', 'issu', 'consult', 'wil', 'colon', 'camp', 'design', 'sess', 'cordon']",become knowledgeable marketing system implementation could go faster despite issue consultant willing coloc campus design session coordin
2,The business need was met - no errors from business processes. There is a significant reduction in real-time errors. user use it train room dedic test train time meet email use,the business need was met  no errors from business processes there is a significant reduction in realtime errors user use it train room dedic test train time meet email use,the business need was met  no errors from business processes there is a significant reduction in realtime errors user use it train room dedic test train time meet email use,"[the, business, need, was, met,  , no, errors, from, business, processes, there, is, a, significant, reduction, in, realtime, errors, user, use, it, train, room, dedic, test, train, time, meet, email, use]","[business, need, met,  , errors, business, processes, significant, reduction, realtime, errors, user, use, train, room, dedic, test, train, time, meet, email, use]","[met,  , processes, significant, reduction, realtime, user, room]","['met', 'a', 'processes', 'significant', 'reduction', 'real-time', 'user', 'room']","['met', 'a', 'process', 'sign', 'reduc', 'real-time', 'us', 'room']",meet   process significant reduction realtime user room
3,a. Good coordination among team members. The team members were transparent and hardworking with a good sense of responsibilities an effect strategi put place upgrad quikpay aid implement anonym node basic authent good coordin among team member the use checklist inform share feedback collabor help team remov roadblock achiev project goal,a good coordination among team members the team members were transparent and hardworking with a good sense of responsibilities an effect strategi put place upgrad quikpay aid implement anonym node basic authent good coordin among team member the use checklist inform share feedback collabor help team remov roadblock achiev project goal,a good coordination among team members the team members were transparent and hardworking with a good sense of responsibilities an effect strategi put place upgrad quikpay aid implement anonym node basic authent good coordin among team member the use checklist inform share feedback collabor help team remov roadblock achiev project goal,"[a, good, coordination, among, team, members, the, team, members, were, transparent, and, hardworking, with, a, good, sense, of, responsibilities, an, effect, strategi, put, place, upgrad, quikpay, aid, implement, anonym, node, basic, authent, good, coordin, among, team, member, the, use, checklist, inform, share, feedback, collabor, help, team, remov, roadblock, achiev, project, goal]","[good, coordination, among, team, members, team, members, transparent, hardworking, good, sense, responsibilities, effect, strategi, put, place, upgrad, quikpay, aid, implement, anonym, node, basic, authent, good, coordin, among, team, member, use, checklist, inform, share, feedback, collabor, help, team, remov, roadblock, achiev, project, goal]","[transparent, hardworking, sense, responsibilities, effect, strategi, put, place, upgrad, quikpay, aid, implement, anonym, node, basic, authent, coordin, member, use, checklist, inform, share, feedback, collabor, help]","['transparent', 'hardworking', 'sense', 'responsibilities', 'effect', 'strategy', 'put', 'place', 'upgrade', 'quikpay', 'aid', 'implement', 'antonym', 'node', 'basic', 'athens', 'cordon', 'member', 'use', 'checklist', 'inform', 'share', 'feedback', 'collar', 'help']","['transp', 'hardwork', 'sens', 'respons', 'effect', 'strategy', 'put', 'plac', 'upgrad', 'quikpay', 'aid', 'impl', 'antonym', 'nod', 'bas', 'ath', 'cordon', 'memb', 'us', 'checkl', 'inform', 'shar', 'feedback', 'coll', 'help']",transparent hardworke sense responsibility effect strategi put place upgrad quikpay aid implement anonym node basic authent coordin member use checklist inform share feedback collabor help
4,IT secutity captured logs for analysis and issues resolution cross function busi user help answer question assist verifi test data get involv meet explain project function benefit the technic team alway avail provid need support user migrat,it secutity captured logs for analysis and issues resolution cross function busi user help answer question assist verifi test data get involv meet explain project function benefit the technic team alway avail provid need support user migrat,it secutity captured logs for analysis and issues resolution cross function busi user help answer question assist verifi test data get involv meet explain project function benefit the technic team alway avail provid need support user migrat,"[it, secutity, captured, logs, for, analysis, and, issues, resolution, cross, function, busi, user, help, answer, question, assist, verifi, test, data, get, involv, meet, explain, project, function, benefit, the, technic, team, alway, avail, provid, need, support, user, migrat]","[secutity, captured, logs, analysis, issues, resolution, cross, function, busi, user, help, answer, question, assist, verifi, test, data, get, involv, meet, explain, project, function, benefit, technic, team, alway, avail, provid, need, support, user, migrat]","[analysis, issues, resolution, cross, busi, help, answer, question, assist, verifi, test, data, get, involv, meet, explain, project, benefit, technic, team, alway]","['analysis', 'issues', 'resolution', 'cross', 'busi', 'help', 'answer', 'question', 'assist', 'verify', 'test', 'data', 'get', 'involve', 'meet', 'explain', 'project', 'benefit', 'technic', 'team', 'always']","['analys', 'issu', 'resolv', 'cross', 'bus', 'help', 'answ', 'quest', 'assist', 'ver', 'test', 'dat', 'get', 'involv', 'meet', 'explain', 'project', 'benefit', 'techn', 'team', 'alway']",analysis issue resolution cross busi help answer question assist verifi test datum get involv meet explain project benefit technic team alway
5,"Take advantage of tools available - meetings (regular, adhoc), emails. Identify team members that need to be in the loop. dlp help meet state texa requir contribut matur secur program level level collabor willing complet task",take advantage of tools available  meetings regular adhoc emails identify team members that need to be in the loop dlp help meet state texa requir contribut matur secur program level level collabor willing complet task,take advantage of tools available  meetings regular adhoc emails identify team members that need to be in the loop dlp help meet state texa requir contribut matur secur program level level collabor willing complet task,"[take, advantage, of, tools, available,  , meetings, regular, adhoc, emails, identify, team, members, that, need, to, be, in, the, loop, dlp, help, meet, state, texa, requir, contribut, matur, secur, program, level, level, collabor, willing, complet, task]","[take, advantage, tools, available,  , meetings, regular, adhoc, emails, identify, team, members, need, loop, dlp, help, meet, state, texa, requir, contribut, matur, secur, program, level, level, collabor, willing, complet, task]","[ , meetings, regular, adhoc, emails, identify, team, members, need, loop, dlp, help, meet, state, texa, requir, contribut, matur, secur]","['a', 'meetings', 'regular', 'ad hoc', 'email', 'identify', 'team', 'members', 'need', 'loop', 'dlp', 'help', 'meet', 'state', 'tea', 'require', 'contribute', 'mature', 'secure']","['a', 'meet', 'regul', 'ad hoc', 'email', 'ident', 'team', 'memb', 'nee', 'loop', 'dlp', 'help', 'meet', 'stat', 'tea', 'requir', 'contribut', 'mat', 'sec']",  meeting regular adhoc email identify team member need loop dlp help meet state texa requir contribut matur secur
6,"Successfully designed and implemented EDI auto load, matching, & indexing. a good commun plan creat notifi user migrat expect chang team work",successfully designed and implemented edi auto load matching  indexing a good commun plan creat notifi user migrat expect chang team work,successfully designed and implemented edi auto load matching  indexing a good commun plan creat notifi user migrat expect chang team work,"[successfully, designed, and, implemented, edi, auto, load, matching,  , indexing, a, good, commun, plan, creat, notifi, user, migrat, expect, chang, team, work]","[successfully, designed, implemented, edi, auto, load, matching,  , indexing, good, commun, plan, creat, notifi, user, migrat, expect, chang, team, work]","[load, matching,  , indexing, good, commun, plan, creat, notifi, user]","['load', 'matching', 'a', 'indexing', 'good', 'common', 'plan', 'great', 'notify', 'user']","['load', 'match', 'a', 'index', 'good', 'common', 'plan', 'gre', 'not', 'us']",load match   index good commun plan creat notifi user
7,The expertise and timely response of Nelnet supported getting the functionalities to work with the Integration Broker. the schedul flexibl intern team nelnet side accommod requir implement it team work togeth work troubleshoot get thing done move forward,the expertise and timely response of nelnet supported getting the functionalities to work with the integration broker the schedul flexibl intern team nelnet side accommod requir implement it team work togeth work troubleshoot get thing done move forward,the expertise and timely response of nelnet supported getting the functionalities to work with the integration broker the schedul flexibl intern team nelnet side accommod requir implement it team work togeth work troubleshoot get thing done move forward,"[the, expertise, and, timely, response, of, nelnet, supported, getting, the, functionalities, to, work, with, the, integration, broker, the, schedul, flexibl, intern, team, nelnet, side, accommod, requir, implement, it, team, work, togeth, work, troubleshoot, get, thing, done, move, forward]","[expertise, timely, response, nelnet, supported, getting, functionalities, work, integration, broker, schedul, flexibl, intern, team, nelnet, side, accommod, requir, implement, team, work, togeth, work, troubleshoot, get, thing, done, move, forward]","[response, supported, getting, functionalities, integration, broker, schedul, flexibl, intern, side, accommod, requir, implement, togeth, troubleshoot]","['response', 'supported', 'getting', 'functionalities', 'integration', 'broker', 'schedule', 'flexible', 'intern', 'side', 'accommod', 'require', 'implement', 'together', 'troubleshooter']","['respons', 'support', 'get', 'funct', 'integr', 'brok', 'schedule', 'flex', 'intern', 'sid', 'accommod', 'requir', 'impl', 'togeth', 'troubleshoot']",response support get functionality integration broker schedul flexibl intern side accommod requir implement togeth troubleshoot
8,Success attributed to teamwork and making sure everyone was on the same page. Project prioritization was key. team cohes willing meet goal learn new methodolog an effect strategi craft enrol particip optin offer mandatori servic target area,success attributed to teamwork and making sure everyone was on the same page project prioritization was key team cohes willing meet goal learn new methodolog an effect strategi craft enrol particip optin offer mandatori servic target area,success attributed to teamwork and making sure everyone was on the same page project prioritization was key team cohes willing meet goal learn new methodolog an effect strategi craft enrol particip optin offer mandatori servic target area,"[success, attributed, to, teamwork, and, making, sure, everyone, was, on, the, same, page, project, prioritization, was, key, team, cohes, willing, meet, goal, learn, new, methodolog, an, effect, strategi, craft, enrol, particip, optin, offer, mandatori, servic, target, area]","[success, attributed, teamwork, making, sure, everyone, page, project, prioritization, key, team, cohes, willing, meet, goal, learn, new, methodolog, effect, strategi, craft, enrol, particip, optin, offer, mandatori, servic, target, area]","[everyone, page, project, prioritization, key, team, cohes, willing, meet, goal, learn, new, methodolog, effect, strategi, craft, enrol, particip, optin]","['everyone', 'page', 'project', 'prioritization', 'key', 'team', 'comes', 'willing', 'meet', 'goal', 'learn', 'new', 'methodology', 'effect', 'strategy', 'craft', 'enrol', 'particle', 'option']","['everyon', 'pag', 'project', 'priorit', 'key', 'team', 'com', 'wil', 'meet', 'goal', 'learn', 'new', 'methodolog', 'effect', 'strategy', 'craft', 'enrol', 'partic', 'opt']",everyone page project prioritization key team cohe willing meet goal learn new methodolog effect strategi craft enrol particip optin
9,The team spend many hours searching for the best product that would meet the needs of all the colleges and admissions counselors. team member commit right attitud excel problem solv approach led success implement solut test scenario document discus busi vendor repres these also help develop test condit data,the team spend many hours searching for the best product that would meet the needs of all the colleges and admissions counselors team member commit right attitud excel problem solv approach led success implement solut test scenario document discus busi vendor repres these also help develop test condit data,the team spend many hours searching for the best product that would meet the needs of all the colleges and admissions counselors team member commit right attitud excel problem solv approach led success implement solut test scenario document discus busi vendor repres these also help develop test condit data,"[the, team, spend, many, hours, searching, for, the, best, product, that, would, meet, the, needs, of, all, the, colleges, and, admissions, counselors, team, member, commit, right, attitud, excel, problem, solv, approach, led, success, implement, solut, test, scenario, document, discus, busi, vendor, repres, these, also, help, develop, test, condit, data]","[team, spend, many, hours, searching, best, product, would, meet, needs, colleges, admissions, counselors, team, member, commit, right, attitud, excel, problem, solv, approach, led, success, implement, solut, test, scenario, document, discus, busi, vendor, repres, also, help, develop, test, condit, data]","[searching, best, product, would, meet, needs, colleges, admissions, counselors, member, commit, right, attitud, excel, problem, solv, approach, led, success, implement, solut, scenario, document, discus, busi, vendor, repres]","['searching', 'best', 'product', 'would', 'meet', 'needs', 'colleges', 'admissions', 'counsellors', 'member', 'commit', 'right', 'attitude', 'excel', 'problem', 'sold', 'approach', 'led', 'success', 'implement', 'solute', 'scenario', 'document', 'discus', 'busi', 'vendor', 'repress']","['search', 'best', 'produc', 'would', 'meet', 'nee', 'colleg', 'admit', 'counsel', 'memb', 'commit', 'right', 'attitud', 'excel', 'problem', 'sold', 'approach', 'led', 'success', 'impl', 'solv', 'scenario', 'docu', 'disc', 'bus', 'vend', 'repress']",search good product would meet need college admission counselor member commit right attitud excel problem solv approach lead success implement solut scenario document discus busi vendor repre
